9 83 260
6 173 308
6 7 333
8 193 302
6 88 302
5 20 281
6 84 258
6 163 307
7 136 324
6 6 329
7 119 279
5 20 254
8 4 259
9 185 309
7 183 320
7 150 294
7 49 264
6 126 305
9 231 315
7 7 301
10 126 261
6 7 314
3 90 260
7 112 264
5 147 260
7 151 298
10 5 262
11 125 252
5 137 261
3 6 257
4 6 250
8 61 484
6 10 303
4 7 244
7 11 295
8 8 250
7 143 286
9 271 270
7 279 261
7 12 290
13 316 275
7 11 257
5 6 268
5 9 303
7 191 307
11 221 345
7 337 302
16 11 262
7 197 272
4 150 262
3 8 291
7 11 277
11 8 270
6 10 277
7 7 300
7 268 249
7 212 913
5 193 262
6 11 321
4 13 259
4 182 257
6 14 254
4 279 265
6 11 256
5 10 261
11 367 267
12 368 281
9 189 265
6 158 263
7 241 262
9 222 262
42 346 323
2 9 242
10 233 285
5 372 255
7 297 271
15 293 567
12 229 325
12 202 283
16 268 823
8 132 271
9 13 779
14 795 442
7 380 305
9 52 264
6 12 247
6 8 330
6 246 260
13 409 334
6 335 277
13 322 291
14 350 316
9 327 321
8 101 301
10 12 286
6 294 284
8 356 275
11 294 333
5 13 297
6 252 309
