14 13 297
24 5 287
3 6 259
3 5 257
6 8 256
6 8 311
6 10 314
6 9 271
7 5 263
8 8 269
10 10 299
7 7 302
9 6 292
8 7 302
9 7 254
7 10 301
8 11 316
5 6 295
4 11 296
7 9 309
7 13 302
7 13 298
4 9 301
3 11 297
4 11 327
6 11 270
9 12 258
8 14 260
9 11 261
5 12 277
5 14 259
6 8 290
5 9 303
5 6 304
8 10 304
3 6 293
5 10 263
5 8 376
7 16 296
6 24 311
5 8 384
7 9 302
6 11 290
7 9 306
6 13 300
3 20 298
7 14 290
9 6 306
7 12 476
8 8 259
3 7 264
5 12 289
9 13 308
4 7 267
6 15 279
7 16 250
5 8 333
9 18 257
4 11 262
4 16 302
5 16 307
6 10 297
6 8 863
8 8 304
5 17 298
5 178 304
21 14 317
5 12 306
9 13 266
9 187 266
7 12 260
8 20 248
8 13 299
7 13 302
5 11 293
5 17 289
5 9 301
4 10 594
5 12 258
5 14 266
5 9 260
5 8 905
7 10 301
5 10 305
7 10 331
8 10 304
5 7 308
7 125 300
6 10 281
4 15 295
3 9 297
8 13 297
4 13 253
7 13 259
5 13 257
7 9 305
4 14 261
4 10 295
5 6 256
6 13 572
