10 1 52 0
3 1 57 0
6 1 44 0
4 1 46 0
5 0 46 0
1 1 48 0
4 3 48 0
2 1 48 0
3 1 48 0
4 1 58 0
7 1 55 0
3 1 54 0
2 1 55 0
3 1 57 0
2 1 58 0
2 1 59 0
2 0 58 0
5 1 48 0
15 2 70 0
3 3 48 0
4 3 57 0
3 1 58 0
1 1 60 0
1 0 54 0
5 0 44 0
2 1 51 0
7 0 52 0
2 1 56 0
3 5 58 0
2 1 48 0
2 1 46 0
2 1 54 0
4 1 54 0
3 0 48 0
1 1 49 0
2 1 51 0
7 0 52 0
2 0 49 0
2 1 46 0
2 1 53 0
3 1 63 0
3 1 44 0
3 1 46 0
28 23 53 72
2 1 53 0
4 1 58 0
12 15 59 0
3 1 48 0
4 1 49 0
6 1 48 0
6 1 56 0
5 3 50 0
6 1 62 0
5 1 54 0
4 1 54 0
11 1 68 0
5 1 55 0
4 1 102 0
23 21 49 0
7 1 59 0
2 2 54 0
5 1 56 0
4 1 56 0
3 0 53 0
5 0 50 0
1 1 64 0
21 27 51 32
3 1 57 0
4 1 60 0
4 1 53 0
4 1 54 0
3 1 59 0
6 1 173 0
3 2 58 0
2 1 60 0
9 1 74 0
9 1 104 0
4 1 70 0
5 6 53 0
2 1 48 0
2 1 62 0
2 1 51 0
3 1 43 0
25 3 48 0
4 0 53 0
2 0 53 0
2 1 48 0
3 1 46 0
1 1 51 0
3 1 63 0
4 1 52 0
4 1 55 0
3 1 46 0
2 1 51 0
4 0 53 0
3 1 52 0
4 1 46 0
4 0 49 0
5 6 46 0
6 1 48 0
