28 35 296
22 25 350
30 21 325
36 19 268
22 16 264
21 15 262
25 17 270
20 20 320
22 24 322
22 17 318
27 25 307
27 20 312
31 35 318
27 54 319
37 47 360
34 45 328
34 45 333
25 46 319
23 34 316
26 88 318
27 49 319
28 44 317
30 37 316
25 40 317
32 51 322
27 27 367
28 40 279
29 47 316
15 24 313
33 40 325
29 36 321
21 37 319
30 28 274
37 64 353
32 44 367
30 43 307
31 39 283
25 45 276
35 44 333
25 59 320
27 42 332
28 37 367
28 34 327
20 38 313
27 42 325
26 50 326
22 32 381
28 44 279
31 44 338
36 48 325
29 36 322
40 45 334
24 38 319
36 49 292
44 50 317
31 39 335
46 43 301
29 38 291
32 48 349
126 41 372
26 29 316
32 46 332
19 21 313
33 41 338
55 66 496
26 41 324
35 44 341
30 42 292
42 49 318
23 18 334
29 50 335
32 42 354
29 41 356
21 29 335
16 16 328
25 48 326
29 45 320
23 42 316
28 36 318
29 52 318
35 57 322
22 32 321
17 26 315
26 48 319
28 36 328
25 49 318
25 38 353
20 28 319
33 44 282
30 57 334
45 47 394
33 46 330
29 52 330
30 63 334
33 36 322
26 38 316
27 37 292
30 52 291
38 30 299
33 43 358
